
2024/11/09 (04:09:00) | ===> btop++ v.1.4.0
2024/11/09 (04:09:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (04:09:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (16:13:09) | ===> btop++ v.1.4.0
2024/11/09 (16:13:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (16:13:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (16:14:07) | ===> btop++ v.1.4.0
2024/11/09 (16:14:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (16:14:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (16:15:52) | ===> btop++ v.1.4.0
2024/11/09 (16:15:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (16:15:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (16:15:57) | ===> btop++ v.1.4.0
2024/11/09 (16:15:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/09 (16:15:57) | WARNING: Intel GPU: Failed to initialize PMU
